PC1,PC2,PC3,Cluster
1.899046474703195,2.242448927095423,-0.06437851705955916,2
-3.3652816051339847,0.7863918886275696,1.4312145466584723,3
2.3242487641675944,1.7740590843350832,-0.02038878955017542,2
-3.392797157744747,0.5814939583651327,1.3320940220265518,3
-3.8052840365002805,0.0911032444580725,1.3198557157880637,3
2.0669398342077936,2.6974246373428046,-1.2081843862186599,2
-0.43892471092664304,-1.62115526743261,-1.4435846995810846,0
2.0314211284807717,1.6139172550137386,-0.533404532874943,2
-1.0095300436718189,-1.0059744648380733,-1.208812239829862,0
2.0890123075402465,2.333599282740731,-0.4008761938804764,2
1.6876376571986893,1.7229779234149747,-0.12774800275804862,2
-1.1457278510313789,-1.1337300537266692,-1.1230765697877583,0
2.813137811693577,-2.0839256954350596,1.020194846909807,1
2.690834885485136,-2.283865355088649,0.9679019622387516,1
-3.4254911318509915,0.6157742466973103,1.4710581449786853,3
2.3635999267474395,-1.096389340698389,0.42302685989808997,1
2.726622551474477,-2.1762719291113584,0.9859761402041939,1
2.499892065809643,-1.7766011897343312,0.6945984318311114,1
-4.139692470697491,-0.4080398498639138,1.3359079499848097,3
2.0755878898158127,1.8160589616966543,0.12412656464713527,2
2.290797002000984,2.562095214044608,-0.7089745497000518,2
-1.14824239926339,-0.8885679984957334,-1.854679800367876,0
1.8226795303686523,2.3841766994743905,0.48682524086965523,2
2.541930213136978,-1.8040966758809114,1.2649599631426471,1
-3.7551450105393585,1.054948740269465,1.280435272275554,3
2.8107021997930968,-0.8654129807974159,0.05081908796741726,1
-3.635886674326311,0.42838265533485914,1.3489669248146208,3
-1.458652361861981,-0.9950460455153703,-1.6075978931992456,0
2.098004962805583,1.9961329093746594,-0.2643226291371338,2
-3.0751278635316925,0.47681917895508014,0.17634310774658768,3
2.0218561644179003,1.079163193152774,0.19019291489806467,2
2.4349049767935385,-1.5044377617527445,0.8386529754761571,1
-0.9646843465461298,-1.2748950691029652,-1.557403367993463,0
-3.056998545373647,0.5456284153568501,1.675782602605012,3
-3.224103648459714,0.535431749973435,0.7043002086739124,3
-1.4935903741899734,-1.4211838608448097,-0.9090207198162661,0
2.029461486274631,2.368875801789503,0.012501180653111038,2
-3.2105570758853372,0.8341761013549026,1.7059064128477501,3
-3.4064594652090157,-0.20387858881856155,1.0908219705383075,3
-1.1910708091896394,-0.4365627948831824,-2.3077617487535473,0
-2.8936943099052046,0.3798970551435164,1.1698430467698429,3
-1.1318733866842687,-1.5548436580644809,-1.2499946233742592,0
-1.577863898298705,-1.2641253216236426,-1.2754759699421216,0
-3.51752553742993,0.4805418866680084,0.7101078534777553,3
-1.1375916586602857,-0.7669784287309703,-2.310228974209051,0
-3.5490147119807074,0.5148634349860156,0.7309220019820383,3
2.262237812850358,1.6810186324848875,-0.05177030471006768,2
2.3314630922109068,-1.2525601402988993,0.5611805200508845,1
2.1087096948462025,2.017638730660686,0.21814123151562884,2
2.8019534944062015,-1.9814707309744812,0.7446541084595797,1
-2.8683637410624314,0.8160933561137005,0.864799960087271,3
-3.4555117757966456,0.32944039489136906,0.3755930110580718,3
-2.67409805949566,-0.856149246221839,1.0670551356410234,3
-1.4653414016372075,-0.99859493904709,-1.7557986655045674,0
2.0921405515405582,-0.9214299626999908,0.637416492242489,1
-1.0337594837641062,-1.153181541064464,-1.002732711928582,0
-1.8041974900618643,-0.23104331205650605,-2.269036838759839,0
-3.160042248094657,0.8448993612381004,0.6088082966277231,3
2.611898020121837,-1.0871133263366846,0.6178881139295114,1
-2.8470720142318475,-0.6029329715363766,1.3755987765727948,3
